2023-05-10 14:23:31,611 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:epm-usagemetrics-eapi'
2023-05-10 14:23:31,829 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:epmdb-usagemetrics-sapi'
2023-05-10 14:23:32,014 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:eps-premiseassets-sapi'
2023-05-10 14:23:32,215 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:experian-contact-sapi'
2023-05-10 14:23:32,412 | sonar-tools | INFO    | MainThread      | Getting measures for project '20fb66fc-3fbd-4ed8-971b-d68fd6899d99:experian-contact-sapi'
2023-05-10 14:23:32,621 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:experian-net-connect-eapi'
2023-05-10 14:23:32,838 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:experian-net-connect-eapi'
2023-05-10 14:23:33,063 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:experian-netconnect-sapi'
2023-05-10 14:23:33,245 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:experian-netconnect-sapi'
2023-05-10 14:23:33,447 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:experian-reset-sapi'
2023-05-10 14:23:33,647 | sonar-tools | INFO    | MainThread      | Getting measures for project '20fb66fc-3fbd-4ed8-971b-d68fd6899d99:experian-reset-sapi'
2023-05-10 14:23:33,831 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:fcc-licenses-sapi'
2023-05-10 14:23:34,049 | sonar-tools | INFO    | MainThread      | Getting measures for project '6d006d9e-f49c-4289-997d-55365c7a6185:fcc-licenses-sapi'
2023-05-10 14:23:34,236 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:file-transfer-sf-sapi'
2023-05-10 14:23:34,431 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:file-transfer-sftp-sapi'
2023-05-10 14:23:34,627 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:files-dxc-sapi'
2023-05-10 14:23:34,824 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:files-dxc-sapi-dev'
2023-05-10 14:23:35,027 | sonar-tools | INFO    | MainThread      | Getting measures for project '56c14f77-79ed-4de3-8313-d542ea9f232b:files-esgmq-sapi'
2023-05-10 14:23:35,383 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:files-esgmq-sapi-dev'
2023-05-10 14:23:35,566 | sonar-tools | INFO    | MainThread      | Getting measures for project '0b71ec1d-a9ef-423b-a599-66c396fc16ba:files-esgmq-sapi-qa'
